"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status","US Tariff Status"
"MAX4948ETG+","Maxim Integrated","MAX4948ETG+-ND","Sega 32x Videoboard","","Tube","Active","1","7.28000","$7.28","1898","6 Weeks","IC SWITCH HEX SPDT 24TQFN","RoHS Compliant","Lead free","REACH Unaffected",""
"PIC12F629-I/SN","Microchip Technology","PIC12F629-I/SN-ND","Retro","","Tube","Active","1","1.34000","$1.34","6076","10 Weeks","IC MCU 8BIT 1.75KB FLASH 8SOIC","RoHS Compliant","Lead free","REACH Unaffected",""
"CL10C560JB8NNNC","Samsung Electro-Mechanics","1276-1197-1-ND","Sega 32x Videoboard","C75_NTSC","Cut Tape (CT)","Active","1","0.15000","$0.15","404117","Not Available","CAP CER 56PF 50V C0G/NP0 0603","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"06031A100JAT2A","AVX Corporation","478-1140-1-ND","Sega 32x Videoboard","C71_NTSC, C71_PAL","Cut Tape (CT)","Active","2","0.42000","$0.84","105550","16 Weeks","CAP CER 10PF 100V C0G/NP0 0603","RoHS Compliant","Lead free","REACH Unaffected",""
"CC0603KRX7R8BB104","Yageo","311-1341-1-ND","Sega 32x Videoboard","C1","Cut Tape (CT)","Active","1","0.15000","$0.15","23279049","16 Weeks","CAP CER 0.1UF 25V X7R 0603","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"GRM1885C1H470GA01J","Murata Electronics North America","490-10719-1-ND","Sega 32x Videoboard","C70_NTSC, C75_PAL","Cut Tape (CT)","Not For New Designs","2","0.23000","$0.46","39359","Not Available","CAP CER 47PF 50V C0G/NP0 0603","RoHS Compliant","Lead free","Not Available",""
"C0603C150J1GACTU","KEMET","399-7853-1-ND","Sega 32x Videoboard","C74_PAL","Cut Tape (CT)","Active","1","0.44000","$0.44","38931","33 Weeks","CAP CER 15PF 100V C0G/NP0 0603","RoHS Compliant","Lead free","REACH Unaffected",""
"C0603C680K5GACTU","KEMET","399-7947-1-ND","Sega 32x Videoboard","C70_PAL","Cut Tape (CT)","Active","1","0.36000","$0.36","46936","45 Weeks","CAP CER 68PF 50V C0G/NP0 0603","RoHS Compliant","Lead free","REACH Unaffected",""
"C0603C820J5GACTU","KEMET","399-1060-1-ND","Sega 32x Videoboard","C78_PAL","Cut Tape (CT)","Active","1","0.15000","$0.15","3288","33 Weeks","CAP CER 82PF 50V C0G/NP0 0603","RoHS Compliant","Lead free","REACH Unaffected",""
"TZB4Z100AA10B00","Murata Electronics North America","490-13405-ND","Sega 32x Videoboard","C72_PAL, C72_NTSC","Bulk","Obsolete","2","0.00000","$0.00","0","Not Available","CAP TRIMMER 3-10PF 100V SMD","RoHS Compliant","Lead free","Not Available",""
"RC0603FR-07430RL","Yageo","311-430HRCT-ND","Sega 32x Videoboard","R40_PAL","Cut Tape (CT)","Active","1","0.15000","$0.15","846638","16 Weeks","RES SMD 430 OHM 1% 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
"RMCF0603FT560R","Stackpole Electronics Inc","RMCF0603FT560RCT-ND","Sega 32x Videoboard","R40_NTSC","Cut Tape (CT)","Active","1","0.15000","$0.15","28020","17 Weeks","RES 560 OHM 1% 1/10W 0603","RoHS Compliant","Lead free","REACH Unaffected","Tariff Eligible"
